t_ns,decay,fit
0.0000000000e+00,4.0000000000e-01,3.0624364560e-01
1.0000000000e-02,3.8398523234e-01,3.0589064195e-01
2.0000000000e-02,3.7807466936e-01,3.0553840243e-01
3.0000000000e-02,3.7333224377e-01,3.0518692519e-01
4.0000000000e-02,3.6929870030e-01,3.0483620839e-01
5.0000000000e-02,3.6571658066e-01,3.0448625020e-01
6.0000000000e-02,3.6244552677e-01,3.0413704880e-01
7.0000000000e-02,3.5944885652e-01,3.0378860235e-01
8.0000000000e-02,3.5667777927e-01,3.0344090904e-01
9.0000000000e-02,3.5406996403e-01,3.0309396705e-01
1.0000000000e-01,3.5156749167e-01,3.0274777457e-01
1.1000000000e-01,3.4918724810e-01,3.0240232980e-01
1.2000000000e-01,3.4691342040e-01,3.0205763092e-01
1.3000000000e-01,3.4474755525e-01,3.0171367614e-01
1.4000000000e-01,3.4266949881e-01,3.0137046367e-01
1.5000000000e-01,3.4066068381e-01,3.0102799172e-01
1.6000000000e-01,3.3875686250e-01,3.0068625850e-01
1.7000000000e-01,3.3695524564e-01,3.0034526224e-01
1.8000000000e-01,3.3518164658e-01,3.0000500115e-01
1.9000000000e-01,3.3350141084e-01,2.9966547346e-01
2.0000000000e-01,3.3190114608e-01,2.9932667741e-01
2.1000000000e-01,3.3033764599e-01,2.9898861123e-01
2.2000000000e-01,3.2886573120e-01,2.9865127317e-01
2.3000000000e-01,3.2742594130e-01,2.9831466146e-01
2.4000000000e-01,3.2607965570e-01,2.9797877436e-01
2.5000000000e-01,3.2481655592e-01,2.9764361013e-01
2.6000000000e-01,3.2351707757e-01,2.9730916701e-01
2.7000000000e-01,3.2220081812e-01,2.9697544328e-01
2.8000000000e-01,3.2093350847e-01,2.9664243719e-01
2.9000000000e-01,3.1972569500e-01,2.9631014702e-01
3.0000000000e-01,3.1855150768e-01,2.9597857105e-01
3.1000000000e-01,3.1737972932e-01,2.9564770755e-01
3.2000000000e-01,3.1619367931e-01,2.9531755481e-01
3.3000000000e-01,3.1502996994e-01,2.9498811111e-01
3.4000000000e-01,3.1394201295e-01,2.9465937475e-01
3.5000000000e-01,3.1286172729e-01,2.9433134402e-01
3.6000000000e-01,3.1179887019e-01,2.9400401722e-01
3.7000000000e-01,3.1074713187e-01,2.9367739265e-01
3.8000000000e-01,3.0968883811e-01,2.9335146863e-01
3.9000000000e-01,3.0865202689e-01,2.9302624347e-01
4.0000000000e-01,3.0765806765e-01,2.9270171548e-01
4.1000000000e-01,3.0671996576e-01,2.9237788299e-01
4.2000000000e-01,3.0579022034e-01,2.9205474431e-01
4.3000000000e-01,3.0487303872e-01,2.9173229778e-01
4.4000000000e-01,3.0401237242e-01,2.9141054173e-01
4.5000000000e-01,3.0317843819e-01,2.9108947450e-01
4.6000000000e-01,3.0237298224e-01,2.9076909443e-01
4.7000000000e-01,3.0157350552e-01,2.9044939986e-01
4.8000000000e-01,3.0083943998e-01,2.9013038915e-01
4.9000000000e-01,3.0011267071e-01,2.8981206064e-01
5.0000000000e-01,2.9935116301e-01,2.8949441269e-01
5.1000000000e-01,2.9861273428e-01,2.8917744367e-01
5.2000000000e-01,2.9788307687e-01,2.8886115194e-01
5.3000000000e-01,2.9716074649e-01,2.8854553587e-01
